tag;descripcion;fabricante;accesorios;modelo;tipo_caldera;material;area_total_transferencia;ancho;largo;alto;calor_intercambiado;eficiencia_termica;capacidad;temp_diseno;presion_diseno;presion_operacion;temp_operacion;presion_operacion_tambor;temp_operacion_tambor;presion_diseno_tambor;temp_diseno_tambor;material_tambor;presion_operacion_sobrecalentador;temp_operacion_sobrecalentador;presion_diseno_sobrecalentador;flujo_max_continuo_sobrecalentador;diametro_chimenea;altura_chimenea;diametro_tambor_sup;longitud_tambor_sup;diametro_tambor_inf;longitud_tambor_inf;area_total_economizador;diametro_tubos_economizador;numero_tubos_economizador;area_total_sobrecalentador;diametro_tubos_sobrecalentador;numero_tubos_sobrecalentador;flujo_c3;densidad_c3;estado_c3;flujo_vapor_c3;temp_operacion_c3;presion_c3;flujo_c5;densidad_c5;estado_c5;flujo_vapor_c5;temp_operacion_c5;presion_c5;flujo_c6;densidad_c6;estado_c6;flujo_vapor_c6;temp_operacion_c6;presion_c6;flujo_c9;densidad_c9;estado_c9;flujo_vapor_c9;temp_operacion_c9;presion_c9;flujo_c5_2;temp_c5_2;presion_c5_2;flujo_c6_2;temp_c6_2;presion_c6_2;flujo_c7;temp_c7;presion_c7;carga;vapor_100;vapor_75;vapor_50;vapor_25;duracion_carga_100;duracion_carga_75;duracion_carga_50;duracion_carga_25;aire_exceso_100;aire_exceso_75;aire_exceso_50;aire_exceso_25;continuous_blowdown_100;continuous_blowdown_75;continuous_blowdown_50;continuous_blowdown_25;combustible_100;combustible_75;combustible_50;combustible_25;aire_combustion_100;aire_combustion_75;aire_combustion_50;aire_combustion_25;gas_combustible_salida_100;gas_combustible_salida_75;gas_combustible_salida_50;gas_combustible_salida_25;vapor_precalentador_100;vapor_precalentador_75;vapor_precalentador_50;vapor_precalentador_25;operacion_minima_tambor_100;operacion_minima_tambor_75;operacion_minima_tambor_50;operacion_minima_tambor_25;caida_presion_minima_tambor_100;caida_presion_minima_tambor_75;caida_presion_minima_tambor_50;caida_presion_minima_tambor_25;vapor_sobrecalentado_100;vapor_sobrecalentado_75;vapor_sobrecalentado_50;vapor_sobrecalentado_25;gas_combustible_FRN_100;gas_combustible_FRN_75;gas_combustible_FRN_50;gas_combustible_FRN_25;gas_combustible_rehervidor_100;gas_combustible_rehervidor_75;gas_combustible_rehervidor_50;gas_combustible_rehervidor_25;gas_combustible_autocontrol_100;gas_combustible_autocontrol_75;gas_combustible_autocontrol_50;gas_combustible_autocontrol_25;agua_entrada_economizador_100;agua_entrada_economizador_75;agua_entrada_economizador_50;agua_entrada_economizador_25;agua_entrada_rehervidor_100;agua_entrada_rehervidor_75;agua_entrada_rehervidor_50;agua_entrada_rehervidor_25;sobrecalentador_100;sobrecalentador_75;sobrecalentador_50;sobrecalentador_25;seccion_caldera_100;seccion_caldera_75;seccion_caldera_50;seccion_caldera_25;gas_seco_100;gas_seco_75;gas_seco_50;gas_seco_25;h2_combustible_100;h2_combustible_75;h2_combustible_50;h2_combustible_25;aire_humedo_100;aire_humedo_75;aire_humedo_50;aire_humedo_25;combustible_no_quemado_100;combustible_no_quemado_75;combustible_no_quemado_50;combustible_no_quemado_25;radiacion_100;radiacion_75;radiacion_50;radiacion_25;error_manufactura_100;error_manufactura_75;error_manufactura_50;error_manufactura_25;perdida_calor_total_100;perdida_calor_total_75;perdida_calor_total_50;perdida_calor_total_25;eficiencia_100;eficiencia_75;eficiencia_50;eficiencia_25;maximo_particulas_100;maximo_particulas_75;maximo_particulas_50;maximo_particulas_25;fgr_100;fgr_75;fgr_50;fgr_25
C-03;Caldera para generacion de vapor;Combustion Engineering.;;;Tipo acotubular con circulacion natural de agua;;;;;;;;215456.376;482.2222;7411.8641;;;6080000;277;;;;5860000;482;;;0.2286;3.3528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C-04;Caldera para generacion de vapor;Combustion Engineering.;;;Tipo acotubular con circulacion natural de agua;;;;;;;;215456.376;482.2222;7411.8641;;;6080000;277;;;;5860000;482;;;0.2286;3.3528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C-09;Caldera para generacion de vapor;Distral Termica;;;Tipo acuotubular con serpentin en D;Acero al carbono;;;;;;;82000;400;5516000;4500000;400;5068000;266;5516000;271;Acero al carbono;4482000;400;;82000;;;;;;;;;;;;;82300;935;L;;130;5300000;;15;V;73800;427;4800000;2800;787.1;L;;266;5030000;;23.2;V;600;266;5030000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C-10;Caldera para generacion de vapor;Distral Termica;;;Tipo acuotubular con serpentin en D;Acero al carbono;;;;;;;82000;400;5516000;4500000;400;5068000;266;5516000;271;Acero al carbono;4482000;400;;82000;;;;;;;;;;;;;82300;935;L;;130;5300000;;15;V;73800;427;4800000;2800;787.1;L;;266;5030000;;23.2;V;600;266;5030000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C-11;Caldera para generacion de vapor;Distral Termica;;;Tipo acuotubular con serpentin en D;Acero al carbono;;;;;;;82000;400;5516000;4500000;400;5068000;266;5516000;271;Acero al carbono;4482000;400;;82000;;;;;;;;;;;;;82300;935;L;;130;5300000;;15;V;73800;427;4800000;2800;787.1;L;;266;5030000;;23.2;V;600;266;5030000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C-12;Caldera para generacion de vapor;Distral Termica;;;Tipo acuotubular con serpentin en D;Acero al carbono;;;;;;;82000;400;5516000;4500000;400;5068000;266;5516000;271;Acero al carbono;4482000;400;;82000;;;;;;;;;;;;;82300;935;L;;130;5300000;;15;V;73800;427;4800000;2800;787.1;L;;266;5030000;;23.2;V;600;266;5030000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C-13;Caldera para generacion de vapor;Distral Termica;;;Tipo acuotubular con serpentin en D;Acero al carbono;;;;;;;82000;400;5516000;4500000;400;5068000;266;5516000;271;Acero al carbono;4482000;400;;82000;;;;;;;;;;;;;82300;935;L;;130;5300000;;15;V;73800;427;4800000;2800;787.1;L;;266;5030000;;23.2;V;600;266;5030000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C-14;Caldera para generacion de vapor;INDECKS;Zurn-Industries, INC.;;"Tipo acuotubular tambores en ""O""";;1.272;3.9;13.5;5.3;364.6;82;90718.4739;;;4481639;398.8888;;;;;;;;;;;;1.2;13.5;0.6;13.4;1.273;0.0508;135;0.091;0.0508;;82300;935;L;;130;5300000;;;;;;;;;;;;;;;;;;;40000;130.5;273693.94;12000;130.5;273693.94;;130.5;273693.94;111.61;113.398;85.049;56.699;28.35;100;75;50;25;15;15;15;15;0;0;0;0;0.01;0.0075;0.005;0.0025;134.49;100.92;67.31;33.25;141.79;106.41;70.94;35.06;4653961.164;4653961.164;4653961.164;4653961.164;4860803.882;4771172.038;4709119.222;4667750.679;206842.718;117210.87;55158.1;13789.5;398.89;407.78;413.89;398.89;1408.33;1338.33;1238.33;1038.89;365.56;331.1;298.3;270;171.1;154.4;139.4;125.56;115.6;115.6;115.6;115.6;182.8;176.7;170;164.5;724.83;408.49;181.83;49.81;5158.49;2904.3;1292.74;316.33;4.9;4.32;3.8;3.35;10.81;10.68;10.55;10.45;0.14;0.12;0.11;0.09;0;0;0;0;0.34;0.45;0.68;1.37;1;1;1;1;17.19;16.57;16.14;16.26;82.81;83.43;83.86;83.74;2000;2000;2000;2000;2;2;2;2
C-15;Caldera para generacion de vapor;INDECKS;Zurn-Industries, INC.;;"Tipo acuotubular tambores en ""O""";;1.272;3.9;13.5;5.3;364.6;82;90718.4739;;;4481639;398.8888;;;;;;;;;;;;1.2;13.5;0.6;13.4;1.273;0.0508;135;0.091;0.0508;;82300;935;L;;130;5300000;;;;;;;;;;;;;;;;;;;40000;130.5;273693.94;12000;130.5;273693.94;;130.5;273693.94;111.61;113.398;85.049;56.699;28.35;100;75;50;25;15;15;15;15;0;0;0;0;0.01;0.0075;0.005;0.0025;134.49;100.92;67.31;33.25;141.79;106.41;70.94;35.06;4653961.164;4653961.164;4653961.164;4653961.164;4860803.882;4771172.038;4709119.222;4667750.679;206842.718;117210.87;55158.1;13789.5;398.89;407.78;413.89;398.89;1408.33;1338.33;1238.33;1038.89;365.56;331.1;298.3;270;171.1;154.4;139.4;125.56;115.6;115.6;115.6;115.6;182.8;176.7;170;164.5;724.83;408.49;181.83;49.81;5158.49;2904.3;1292.74;316.33;4.9;4.32;3.8;3.35;10.81;10.68;10.55;10.45;0.14;0.12;0.11;0.09;0;0;0;0;0.34;0.45;0.68;1.37;1;1;1;1;17.19;16.57;16.14;16.26;82.81;83.43;83.86;83.74;2000;2000;2000;2000;2;2;2;2
C-16;Caldera para generacion de vapor;INDECKS;Zurn-Industries, INC.;;"Tipo acuotubular tambores en ""O""";;1.272;3.9;13.5;5.3;364.6;82;90718.4739;;;4481639;398.8888;;;;;;;;;;;;1.2;13.5;0.6;13.4;1.273;0.0508;135;0.091;0.0508;;82300;935;L;;130;5300000;;;;;;;;;;;;;;;;;;;40000;130.5;273693.94;12000;130.5;273693.94;;130.5;273693.94;111.61;113.398;85.049;56.699;28.35;100;75;50;25;15;15;15;15;0;0;0;0;0.01;0.0075;0.005;0.0025;134.49;100.92;67.31;33.25;141.79;106.41;70.94;35.06;4653961.164;4653961.164;4653961.164;4653961.164;4860803.882;4771172.038;4709119.222;4667750.679;206842.718;117210.87;55158.1;13789.5;398.89;407.78;413.89;398.89;1408.33;1338.33;1238.33;1038.89;365.56;331.1;298.3;270;171.1;154.4;139.4;125.56;115.6;115.6;115.6;115.6;182.8;176.7;170;164.5;724.83;408.49;181.83;49.81;5158.49;2904.3;1292.74;316.33;4.9;4.32;3.8;3.35;10.81;10.68;10.55;10.45;0.14;0.12;0.11;0.09;0;0;0;0;0.34;0.45;0.68;1.37;1;1;1;1;17.19;16.57;16.14;16.26;82.81;83.43;83.86;83.74;2000;2000;2000;2000;2;2;2;2
C-17;Caldera para generacion de vapor;INDECKS;Zurn-Industries, INC.;;"Tipo acuotubular tambores en ""O""";;1.272;3.9;13.5;5.3;364.6;82;90718.4739;;;4481639;398.8888;;;;;;;;;;;;1.2;13.5;0.6;13.4;1.273;0.0508;135;0.091;0.0508;;82300;935;L;;130;5300000;;;;;;;;;;;;;;;;;;;40000;130.5;273693.94;12000;130.5;273693.94;;130.5;273693.94;111.61;113.398;85.049;56.699;28.35;100;75;50;25;15;15;15;15;0;0;0;0;0.01;0.0075;0.005;0.0025;134.49;100.92;67.31;33.25;141.79;106.41;70.94;35.06;4653961.164;4653961.164;4653961.164;4653961.164;4860803.882;4771172.038;4709119.222;4667750.679;206842.718;117210.87;55158.1;13789.5;398.89;407.78;413.89;398.89;1408.33;1338.33;1238.33;1038.89;365.56;331.1;298.3;270;171.1;154.4;139.4;125.56;115.6;115.6;115.6;115.6;182.8;176.7;170;164.5;724.83;408.49;181.83;49.81;5158.49;2904.3;1292.74;316.33;4.9;4.32;3.8;3.35;10.81;10.68;10.55;10.45;0.14;0.12;0.11;0.09;0;0;0;0;0.34;0.45;0.68;1.37;1;1;1;1;17.19;16.57;16.14;16.26;82.81;83.43;83.86;83.74;2000;2000;2000;2000;2;2;2;2
